,Date,Place,Tier,Tournament,Result,Prize,Tournament_Link,Game,Prize_Clean,Cumulative_Prize
478,2015-01-25,5th - 6th,S-Tier,MLG X Games Aspen Invitational,1/2,,https://liquipedia.net/counterstrike/MLG/Aspen_Invitational,Counter-Strike,0.0,0.0
479,2015-02-01,3rd - 4th,A-Tier,Clutch Con 2015,0 : 2,1000.0,https://liquipedia.net/counterstrike/Clutch_Con/2015,Counter-Strike,1000.0,1000.0
480,2015-02-15,13th - 16th,Qualifier,ESL One: Katowice 2015 - LAN Qualifier,10 : 16,,https://liquipedia.net/counterstrike/ESL/One/2015/Katowice/Qualifier/LAN,Counter-Strike,0.0,1000.0
481,2015-03-01,2nd,B-Tier,iBUYPOWER Invitational 2015 - Spring,0 : 2,1000.0,https://liquipedia.net/counterstrike/IBUYPOWER/Invitational/2015/Spring,Counter-Strike,1000.0,2000.0
482,2015-03-06,6th,Qualifier,ESEA Invite Season 18 - North America,9/7,,https://liquipedia.net/counterstrike/ESEA/Season_18/Invite/North_America,Counter-Strike,0.0,2000.0
483,2015-03-28,2nd,B-Tier,Alienware Area 51 Cup #1,1 : 2,2500.0,https://liquipedia.net/counterstrike/Alienware_Area_51/Cup/1,Counter-Strike,2500.0,4500.0
484,2015-04-02,1st,C-Tier,RGN Intercontinental Open 2 North America,2 : 0,2000.0,https://liquipedia.net/counterstrike/RGN/Intercontinental_Open_2/North_America,Counter-Strike,2000.0,6500.0
485,2015-04-08,1st,A-Tier,FACEIT League 2015 Stage 1 - NA,8/2,,https://liquipedia.net/counterstrike/FACEIT/League/2015/Stage_1/North_America,Counter-Strike,0.0,6500.0
486,2015-05-03,7th - 8th,S-Tier,FACEIT League 2015 Stage I Finals,0/2,3000.0,https://liquipedia.net/counterstrike/FACEIT/League/Finals/2015,Counter-Strike,3000.0,9500.0
487,2015-05-16,9th - 10th,S-Tier,Gfinity Spring Masters 2,0/2/2,,https://liquipedia.net/counterstrike/Gfinity/Masters/Spring_2,Counter-Strike,0.0,9500.0
488,2015-05-31,1st,Qualifier,ESWC 2015 - MSI USA Qualifier,2 : 1,,https://liquipedia.net/counterstrike/ESWC/2015/MSI_USA_Qualifier_1,Counter-Strike,0.0,9500.0
